1981.02, 23129.97, 22316.17, 22808.88
1981.03, 24216.72, 22691.02, 23729.86
1981.04, 24661.00, 23088.62, 24161.64
1981.05, 24395.87, 23477.69, 24049.33
1981.06, 24736.42, 23879.87, 24402.57
1981.07, 24371.98, 24302.63, 24217.94
1981.08, 24699.13, 24745.12, 24569.26
1981.09, 22790.23, 25202.55, 23188.81
1981.10, 23314.41, 25640.62, 23694.00
1981.11, 24153.09, 26054.32, 24443.46
1981.12, 24568.96, 26488.63, 24861.93
1982.01, 23529.73, 26934.67, 24163.94
1982.02, 23217.12, 27382.19, 24016.87
1982.03, 22718.70, 27839.51, 23721.74
1982.04, 24090.81, 28295.17, 24904.02
1982.05, 24362.95, 28754.49, 25215.27
1982.06, 23221.13, 29234.20, 24418.50
1982.07, 23412.75, 29701.50, 24665.36
1982.08, 23733.10, 30152.61, 25011.76
1982.09, 26725.86, 30588.44, 27495.56
1982.10, 29224.47, 31006.44, 29539.69
1982.11, 30669.17, 31431.79, 30747.19
1982.12, 31218.32, 31836.57, 31261.08
1983.01, 32577.55, 32260.26, 32376.96
1983.02, 33407.41, 32672.81, 33095.43
1983.03, 34832.52, 33099.38, 34252.99
1983.04, 36427.75, 33519.67, 35527.36
1983.05, 38172.16, 33960.71, 36908.23
1983.06, 38977.70, 34407.77, 37611.18
1983.07, 39391.47, 34882.13, 38041.69
1983.08, 38585.37, 35362.93, 37602.19
1983.09, 39998.29, 35836.56, 38752.39
1983.10, 40395.49, 36324.02, 39174.47
1983.11, 40075.00, 36813.34, 39081.95
1983.12, 40162.81, 37312.61, 39283.45
1984.01, 40935.91, 37815.77, 39976.36
1984.02, 38993.59, 38335.42, 38764.61
1984.03, 39307.90, 38876.11, 39142.83
1984.04, 39649.21, 39432.05, 39544.42
1984.05, 39692.32, 40029.21, 39743.22
1984.06, 39104.43, 40631.75, 39487.05
1984.07, 38892.97, 41209.73, 39490.71
1984.08, 42602.77, 41792.59, 42359.30
1984.09, 43342.35, 42367.91, 43052.07
1984.10, 43307.26, 42925.08, 43185.54
1984.11, 44005.07, 43481.07, 43843.22
1984.12, 43837.92, 44040.58, 43881.33
1985.01, 46036.00, 44594.48, 45587.13
1985.02, 48837.39, 45182.54, 47709.35
1985.03, 48751.04, 45765.53, 47834.89
1985.04, 49394.94, 46344.98, 48458.79
1985.05, 50887.48, 46887.18, 49653.78
1985.06, 52306.94, 47431.95, 50796.28
1985.07, 53624.56, 47994.03, 51872.41
1985.08, 52784.74, 48551.68, 51484.36
1985.09, 51939.54, 49112.76, 51085.66
1985.10, 52859.54, 49666.46, 51891.78
1985.11, 56388.04, 50209.82, 54486.72
1985.12, 59509.93, 50730.68, 56767.65
1986.01, 60105.87, 51261.47, 57343.28
1986.02, 63669.86, 51757.77, 59832.07
1986.03, 67745.07, 52224.49, 62607.50
1986.04, 69746.75, 52693.64, 64043.60
1986.05, 70238.39, 53196.24, 64544.07
1986.06, 72582.72, 53669.98, 66190.97
1986.07, 71427.09, 54146.22, 65660.10
1986.08, 73201.87, 54607.05, 66946.38
1986.09, 71559.15, 55093.70, 66113.60
1986.10, 71644.57, 55577.77, 66351.33
1986.11, 74318.00, 56060.01, 68217.42
1986.12, 75733.97, 56545.75, 69288.38
1987.01, 80927.98, 57035.30, 72625.52
1987.02, 86297.74, 57528.58, 76015.69
1987.03, 90218.69, 58039.77, 78520.18
1987.04, 89602.14, 58587.67, 78412.81
1987.05, 89910.86, 59154.92, 78844.29
1987.06, 94100.15, 59719.74, 81520.00
1987.07, 97185.26, 60302.73, 83549.07
1987.08, 103597.72, 60905.66, 87465.64
1987.09, 100619.28, 61546.94, 86112.17
1987.10, 88876.95, 62150.40, 79760.50
1987.11, 78128.80, 62768.12, 73659.53
1987.12, 77243.39, 63382.36, 73350.44
1988.01, 80671.89, 63975.24, 75677.30
1988.02, 83507.21, 64565.81, 77626.96
1988.03, 86356.53, 65182.83, 79584.85
1988.04, 85752.68, 65820.44, 79504.37
1988.05, 84041.10, 66481.74, 78771.93
1988.06, 89226.95, 67125.80, 82153.39
1988.07, 89112.78, 67791.81, 82374.90
1988.08, 87744.68, 68470.56, 81857.90
1988.09, 89589.55, 69131.89, 83239.75
1988.10, 93144.86, 69785.73, 85632.91
1988.11, 91427.96, 70468.69, 84919.71
1988.12, 93708.14, 71161.69, 86571.37
1989.01, 97152.70, 71855.44, 88859.46
1989.02, 100512.71, 72573.56, 91096.39
1989.03, 100514.58, 73296.12, 91435.87
1989.04, 104250.71, 74006.80, 93873.86
1989.05, 108692.95, 74697.23, 96680.26
1989.06, 112536.40, 75361.12, 99119.43
1989.07, 115841.47, 76011.58, 101242.03
1989.08, 121425.84, 76694.41, 104605.92
1989.09, 122143.57, 77384.93, 105338.79
1989.10, 122655.04, 78055.73, 105950.94
1989.11, 120600.92, 78725.43, 105188.05
1989.12, 124057.44, 79405.74, 107394.88
1990.01, 121488.87, 80126.96, 106441.01
1990.02, 118594.80, 80860.19, 105299.91
1990.03, 121963.90, 81604.97, 107473.92
1990.04, 122370.68, 82385.83, 108091.25
1990.05, 127238.36, 83141.36, 111058.58
1990.06, 131428.92, 83888.80, 113643.06
1990.07, 131818.33, 84636.46, 114240.28
1990.08, 121653.10, 85425.15, 109370.47
1990.09, 116554.99, 86216.18, 107017.10
1990.10, 114032.71, 86999.86, 106008.90
1990.11, 117592.04, 87762.28, 108358.43
1990.12, 123136.39, 88517.00, 111788.90
1991.01, 122465.06, 89276.62, 111828.76
1991.02, 136808.82, 90043.11, 119819.48
1991.03, 141131.73, 90816.15, 122436.22
1991.04, 144480.78, 91590.92, 124548.39
1991.05, 144392.33, 92374.14, 124939.55
1991.06, 145061.35, 93175.78, 125718.95
1991.07, 146360.79, 93977.10, 126814.58
1991.08, 150441.90, 94757.01, 129295.89
1991.09, 150157.51, 95513.41, 129575.59
1991.10, 150597.58, 96272.12, 130216.34
1991.11, 150789.56, 97031.67, 130732.42
1991.12, 152364.09, 97741.30, 131914.20
1992.01, 163722.04, 98506.10, 137861.58
1992.02, 162915.23, 99273.56, 137938.70
1992.03, 161444.56, 100068.66, 137712.76
1992.04, 162043.37, 100873.17, 138471.62
1992.05, 165559.87, 101660.82, 140615.94
1992.06, 163538.09, 102436.42, 140111.86
1992.07, 166831.26, 103180.17, 142125.42
1992.08, 168572.54, 103920.16, 143390.31
1992.09, 169382.79, 104642.58, 144200.49
1992.10, 167558.46, 105406.75, 143779.80
1992.11, 172339.57, 106187.45, 146531.92
1992.12, 178137.16, 106951.61, 149742.02
1993.01, 178569.25, 107695.00, 150399.65
1993.02, 181819.71, 108411.10, 152320.87
1993.03, 185898.67, 109131.79, 154614.52
1993.04, 183588.05, 109854.73, 154030.12
1993.05, 185093.49, 110590.53, 155169.45
1993.06, 186869.09, 111299.49, 156413.53
1993.07, 187160.30, 112014.73, 156990.15
1993.08, 190628.82, 112699.55, 158985.49
1993.09, 193383.37, 113380.72, 160650.55
1993.10, 195957.76, 114069.28, 162236.49
1993.11, 196150.67, 114798.69, 162782.07
1993.12, 198065.13, 115528.77, 164098.50
1994.01, 201678.94, 116253.11, 166128.90
1994.02, 201710.15, 117028.13, 166653.21
1994.03, 199028.17, 117866.12, 166053.29
1994.04, 192567.14, 118738.57, 163820.27
1994.05, 194783.77, 119627.13, 165370.37
1994.06, 197120.60, 120538.22, 166987.58
1994.07, 196283.28, 121433.58, 167195.04
1994.08, 202501.91, 122340.83, 170530.32
1994.09, 204336.16, 123297.35, 171954.17
1994.10, 203616.27, 124280.88, 172278.19
1994.11, 203050.08, 125280.56, 172675.20
1994.12, 201157.12, 126278.99, 172479.89
1995.01, 206263.10, 127261.94, 175319.51
1995.02, 214309.04, 128211.44, 179371.87
1995.03, 219965.34, 129165.89, 182384.75
1995.04, 227212.13, 130110.67, 186033.77
1995.05, 234991.47, 130977.63, 189815.25
1995.06, 242633.49, 131840.51, 193503.11
1995.07, 251412.96, 132731.69, 197633.39
1995.08, 252889.47, 133612.37, 198843.88
1995.09, 262461.70, 134486.09, 203231.84
1995.10, 265041.20, 135346.61, 204854.27
1995.11, 271468.94, 136179.98, 207942.43
1995.12, 280841.22, 136998.04, 212129.39
1996.01, 281491.78, 137824.65, 212998.95
1996.02, 298277.36, 138715.64, 219779.88
1996.03, 297874.77, 139637.85, 220363.55
1996.04, 298653.95, 140605.08, 221400.57
1996.05, 305867.19, 141597.50, 224746.72
1996.06, 309964.22, 142580.00, 226968.81
1996.07, 299404.27, 143577.75, 224049.09
1996.08, 308792.47, 144598.73, 228217.30
1996.09, 315226.37, 145596.47, 231285.23
1996.10, 328383.52, 146555.85, 236677.56
1996.11, 345139.99, 147484.52, 243219.08
1996.12, 349462.76, 148464.70, 245484.61
1997.01, 361025.83, 149464.03, 250071.23
1997.02, 376944.02, 150475.39, 256013.68
1997.03, 374794.61, 151536.28, 256271.81
1997.04, 362249.88, 152579.03, 253233.99
1997.05, 395788.06, 153621.00, 264910.20
1997.06, 417077.08, 154648.15, 272374.76
1997.07, 441165.50, 155617.85, 280484.33
1997.08, 442895.45, 156634.68, 281928.18
1997.09, 448365.47, 157626.08, 284441.91
1997.10, 455930.81, 158586.79, 287533.95
1997.11, 450883.24, 159558.65, 286968.74
1997.12, 462944.22, 160517.18, 291379.36
1998.01, 464242.82, 161454.67, 292633.40
1998.02, 494129.09, 162411.01, 301834.72
1998.03, 520551.78, 163376.42, 309879.31
1998.04, 538463.99, 164368.45, 315560.00
1998.05, 537475.23, 165329.40, 316271.69
1998.06, 538304.87, 166279.37, 317438.24
1998.07, 562530.00, 167240.30, 324685.60
1998.08, 523567.91, 168143.47, 315704.51
1998.09, 498157.81, 168962.73, 309761.01
1998.10, 504781.65, 169810.49, 312383.69
1998.11, 560314.03, 170678.35, 328338.46
1998.12, 583484.90, 171540.51, 335174.63
1999.01, 613114.02, 172410.30, 343232.10
1999.02, 612914.37, 173375.56, 344219.93
1999.03, 631022.59, 174337.56, 349519.74
1999.04, 658018.98, 175319.46, 356860.90
1999.05, 657574.66, 176345.76, 357887.76
1999.06, 653761.34, 177400.54, 358174.64
1999.07, 683505.29, 178477.69, 366198.14
1999.08, 657942.12, 179570.86, 361661.85
1999.09, 654219.63, 180655.54, 361987.86
1999.10, 646109.97, 181767.68, 361314.99
1999.11, 692182.25, 182910.39, 373374.11
1999.12, 711810.86, 184095.89, 379140.63
2000.01, 711176.38, 185327.68, 380433.44
2000.02, 693782.14, 186527.25, 378095.49
2000.03, 721308.70, 187669.95, 385394.73
2000.04, 731784.71, 188852.15, 388996.78
2000.05, 711240.87, 190051.02, 386016.14
2000.06, 733929.00, 191215.31, 392269.09
2000.07, 740369.45, 192387.51, 394995.56
2000.08, 747526.00, 193515.76, 397819.26
2000.09, 739668.33, 194662.13, 397466.95
2000.10, 701347.22, 195806.43, 390539.66
2000.11, 696143.66, 196910.04, 390613.36
2000.12, 673264.06, 197958.64, 386639.25
2001.01, 676535.84, 199016.94, 388542.51
2001.02, 662309.60, 200045.26, 386590.34
2001.03, 602451.55, 201079.61, 374462.49
2001.04, 605363.65, 202188.75, 376346.89
2001.05, 647177.12, 203311.07, 387436.26
2001.06, 631946.38, 204441.65, 385219.27
2001.07, 615370.01, 205517.86, 382550.83
2001.08, 603010.84, 206561.78, 380752.06
2001.09, 535489.96, 207566.88, 365617.54
2001.10, 552735.18, 208515.98, 371052.79
2001.11, 580849.05, 209557.05, 379296.04
2001.12, 589570.60, 210650.27, 382607.40
2002.01, 588038.68, 211756.43, 383448.07
2002.02, 568567.48, 212836.89, 380042.63
2002.03, 596873.74, 214016.09, 388117.10
2002.04, 576147.39, 215144.08, 384487.46
2002.05, 560143.72, 216268.95, 381844.65
2002.06, 527247.31, 217356.03, 374917.24
2002.07, 470824.84, 218384.06, 361529.19
2002.08, 476396.68, 219356.04, 364025.21
2002.09, 453983.35, 220234.49, 358718.34
2002.10, 448012.18, 221169.71, 357922.67
2002.11, 477877.46, 222166.20, 367473.02
2002.12, 473163.85, 223093.44, 367075.80
2003.01, 472341.69, 224056.65, 367825.95
2003.02, 442319.75, 224971.88, 360790.09
2003.03, 448324.83, 225910.55, 363373.17
2003.04, 472212.79, 226859.35, 370887.16
2003.05, 497487.90, 227722.90, 378490.35
2003.06, 526052.95, 228616.01, 386778.74
2003.07, 529416.49, 229682.06, 388727.12
2003.08, 528770.28, 230763.51, 389690.97
2003.09, 545696.11, 231747.07, 394945.85
2003.10, 556985.85, 232802.80, 398827.66
2003.11, 563958.16, 233869.49, 401646.69
2003.12, 581452.45, 234924.25, 406993.55
2004.01, 610351.70, 235965.10, 414599.71
2004.02, 617217.54, 236977.67, 417206.52
2004.03, 607811.83, 237966.94, 416260.61
2004.04, 613929.58, 239092.83, 418845.95
2004.05, 598450.33, 240253.84, 416754.78
2004.06, 615770.12, 241402.94, 421876.67
2004.07, 602245.23, 242537.92, 420165.90
2004.08, 594141.88, 243626.42, 419546.16
2004.09, 610892.25, 244695.01, 424490.57
2004.10, 611754.98, 245748.11, 425831.61
2004.11, 641156.40, 246871.50, 433611.51
2004.12, 658856.97, 247971.61, 438661.00
2005.01, 650230.34, 249062.78, 438185.18
2005.02, 661397.70, 250209.39, 441752.02
2005.03, 659960.35, 251382.49, 442810.29
2005.04, 644334.99, 252499.65, 440939.50
2005.05, 653179.48, 253575.90, 443969.39
2005.06, 667652.17, 254641.78, 448124.93
2005.07, 679951.60, 255787.75, 451910.40
2005.08, 682303.60, 256880.68, 453627.51
2005.09, 684456.28, 258045.34, 455393.17
2005.10, 666772.39, 259262.59, 453263.96
2005.11, 693398.25, 260469.98, 460070.04
2005.12, 708494.30, 261661.27, 464444.49
2006.01, 719124.77, 262889.90, 467853.62
2006.02, 719258.68, 264131.48, 469356.16
2006.03, 730185.74, 265442.92, 472918.18
2006.04, 736261.64, 266804.80, 475654.10
2006.05, 730733.88, 268187.08, 476315.49
2006.06, 711247.90, 269580.19, 474428.29
2006.07, 716616.55, 270944.00, 477048.69
2006.08, 733269.70, 272255.67, 481705.10
2006.09, 752057.17, 273550.06, 486698.41
2006.10, 779467.74, 274842.84, 493208.94
2006.11, 795304.20, 276108.05, 497535.27
2006.12, 812621.82, 277432.72, 502172.41
2007.01, 818504.26, 278795.03, 504817.59
2007.02, 831809.91, 280107.73, 508585.43
